BveTs Motor Noise Table 1.00:shift_jis
#
0,,1,,,,,,,,,,,,,,
0.2,,1,,,,,,,,,,,,,,
0.4,,1,1,,,,,,,,,,,,,
0.6,,1,1,,,,,,,,,,,,,
0.8,,1,1,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,
1.2,,1,1,,,,,,,,,,,,,
1.4,,1,1,,,,,,,,,,,,,
1.6,,1,1,,,,,,,,,,,,,
1.8,,1,1,,,,,,,,,,,,,
2,,,1,,,,,,,,,,,,,
2.2,,,,,,1,,,,,,,,,,
2.4,,,,,,1,,,,,,,,,,
2.6,,,,,,1,,,,,,,,,,
2.8,,,,,,1,,,,,,,,,,
3,,,,,,1,,,,,,,,,,
3.2,,,,,,1,,,,,,,,,,
3.4,,,,,,1,,,,,,,,,,
3.6,,,,,,1,,,,,,,,,,
3.8,,,,1,,,,,,,,,,,,
4,,,,1,,,,,,,,,,,,
4.2,,,,1,,,,,,,,,,,,
4.4,,,,1,,,,,,,,,,,,
4.6,,,,1,,,,,,,,,,,,
4.8,,,,1,,,,,,,,,,,,
5,,,,1,,,,,,,,,,,,
5.2,,,,1,,,,,,,,,,,,
5.4,,,,1,,,,,,,,,,,,
5.6,,,,1,,,,,,,,,,,,
5.8,,,,1,,,,,,,,,,,,
6,,,,1,,,,,,,,,,,,
6.2,,,,1,,,,,,,,,,,,
6.4,,,,1,,,,,,,,,,,,
6.6,,,,1,,,,,,,,,,,,
6.8,,,,1,,,,,,,,,,,,
7,,,,1,,,,,,,,,,,,
7.2,,,,1,,,,,,,,,,,,
7.4,,,,1,,,,,,,,,,,,
7.6,,,,1,,,,,,,,,,,,
7.8,,,,1,,,,,,,,,,,,
8,,,,1,,,,,,,,,,,,
8.2,,,,1,,,,,,,,,,,,
8.400001,,,,1,,,,,,,,,,,,
8.6,,,,1,,,,,,,,,,,,
8.8,,,,1,,,,,,,,,,,,
9,0.3,,,1,,,,,,,,,,,,
9.2,0.3,,,1,,,,,,,,,,,,
9.400001,0.3,,,1,,,,,,,,,,,,
9.6,0.3,,,1,,,,,,,,,,,,
9.8,0.32,,,1,,,,,,,,,,,,
10,0.32,,,1,,,,,,,,,,,,
10.2,0.32,,,1,,,,,,,,,,,,
10.4,0.34,,,1,,,,,,,,,,,,
10.6,0.34,,,1,,,,,,,,,,,,
10.8,0.34,,,1,,,,,,,,,,,,
11,0.34,,,1,,,,,,,,,,,,
11.2,0.36,,,1,,,,,,,,,,,,
11.4,0.36,,,1,,,,,,,,,,,,
11.6,0.36,,,1,,,,,,,,,,,,
11.8,0.38,,,1,,,,,,,,,,,,
12,0.38,,,1,,,,,,,,,,,,
12.2,0.38,,,1,,,,,,,,,,,,
12.4,0.4,,,1,,,,,,,,,,,,
12.6,0.4,,,1,,,,,,,,,,,,
12.8,0.4,,,1,,,,,,,,,,,,
13,0.4,,,1,,,,,,,,,,,,
13.2,0.42,,,1,,,,,,,,,,,,
13.4,0.42,,,1,,,,,,,,,,,,
13.6,0.42,,,1,,,,,,,,,,,,
13.8,0.44,,,1,,,,,,,,,,,,
14,0.44,,,1,,,,,,,,,,,,
14.2,0.44,,,1,,,,,,,,,,,,
14.4,0.44,,,1,,,,,,,,,,,,
14.6,0.46,,,1,,,,,,,,,,,,
14.8,0.46,,,1,,,,,,,,,,,,
15,0.46,,,1,,,,,,,,,,,,
15.2,0.48,,,1,,,,,,,,,,,,
15.4,0.48,,,1,,,,,,,,,,,,
15.6,0.48,,,1,,,,,,,,,,,,
15.8,0.48,,,1,,,,,,,,,,,,
16,0.5,,,1,,,,,,,,,,,,
16.2,0.5,,,1,,,,,,,,,,,,
16.4,0.5,,,1,,,,,,,,,,,,
16.6,0.52,,,1,,,,,,,,,,,,
16.8,0.52,,,1,,,,,,,,,,,,
17,0.52,,,1,,,,,,,,,,,,
17.2,0.54,,,1,,,,,,,,,,,,
17.4,0.54,,,1,,,,,,,,,,,,
17.6,0.54,,,1,,,,,,,,,,,,
17.8,0.54,,,1,,,,,,,,,,,,
18,0.56,,,1,,,,,,,,,,,,
18.2,0.56,,,1,,,,,,,,,,,,
18.4,0.56,,,1,,,,,,,,,,,,
18.6,0.58,,,1,,,,,,,,,,,,
18.8,0.58,,,1,,,,,,,,,,,,
19,0.58,,,1,,,,,,,,,,,,
19.2,0.58,,,1,,,,,,,,,,,,
19.4,0.6,,,1,,,,,,,,,,,,
19.6,0.6,,,1,,,,,,,,,,,,
19.8,0.6,,,1,,,,,,,,,,,,
20,0.62,,,1,,,,,,,,,,,,
20.2,0.62,,,1,,,,,,,,,,,,
20.4,0.62,,,1,,,,,,,,,,,,
20.6,0.64,,,1,,,,,,,,,,,,
20.8,0.64,,,1,,,,,,,,,,,,
21,0.64,,,1,,,,,,,,,,,,
21.2,0.64,,,1,,,,,,,,,,,,
21.4,0.66,,,1,,,,,,,,,,,,
21.6,0.66,,,1,,,,,,,,,,,,
21.8,0.66,,,1,,,,,,,,,,,,
22,0.68,,,1,,,,,,,,,,,,
22.2,0.68,,,1,,,,,,,,,,,,
22.4,0.68,,,1,,,,,,,,,,,,
22.6,0.68,,,1,,,,,,,,,,,,
22.8,0.7,,,1,,,,,,,,,,,,
23,0.7,,,1,,,,,,,,,,,,
23.2,0.7,,,1,,,,,,,,,,,,
23.4,0.72,,,1,,,,,,,,,,,,
23.6,0.72,,,1,,,,,,,,,,,,
23.8,0.72,,,1,,,,,,,,,,,,
24,0.72,,,1,,,,,,,,,,,,
24.2,0.74,,,1,,,,,,,,,,,,
24.4,0.74,,,1,,,,,,,,,,,,
24.6,0.74,,,1,,,,,,,,,,,,
24.8,0.76,,,1,,,,,,,,,,,,
25,0.76,,,1,,,,,,,,,,,,
25.2,0.76,,,1,,,,,,,,,,,,
25.4,0.78,,,1,,,,,,,,,,,,
25.6,0.78,,,1,,,,,,,,,,,,
25.8,0.78,,,1,,,,,,,,,,,,
26,0.78,,,1,,,,,,,,,,,,
26.2,0.8,,,1,,,,,,,,,,,,
26.4,0.8,,,1,,,,,,,,,,,,
26.6,0.8,,,1,,,,,,,,,,,,
26.8,0.82,,,1,,,,,,,,,,,,
27,0.82,,,1,,,,,,,,,,,,
27.2,0.82,,,1,,,,,,,,,,,,
27.4,0.82,,,1,,,,,,,,,,,,
27.6,0.84,,,1,,,,,,,,,,,,
27.8,0.84,,,1,,,,,,,,,,,,
28,0.84,,,1,,,,,,,,,,,,
28.2,0.86,,,1,,,,,,,,,,,,
28.4,0.86,,,1,,,,,,,,,,,,
28.6,0.86,,,1,,,,,,,,,,,,
28.8,0.86,,,1,,,,,,,,,,,,
29,0.88,,,1,,,,,,,,,,,,
29.2,0.88,,,1,,,,,,,,,,,,
29.4,0.88,,,1,,,,,,,,,,,,
29.6,0.9,,,1,,,,,,,,,,,,
29.8,0.9,,,1,,,,,,,,,,,,
30,0.9,,,1,,,,,,,,,,,,
30.2,0.92,,,1,,,,,,,,,,,,
