BveTs Vehicle Performance Table 2.00:shift_jis
#
0,25371.33,55082.5,55082.5,55082.5
5,20030,55082.5,55082.5,55082.5
10,7802.245,55082.5,55082.5,55082.5
15,3916.196,44066,55082.5,55082.5
20,2401.422,33049.5,55082.5,55082.5
25,1643.318,25175.63,55082.5,55082.5
30,1205.351,16857.05,55082.5,55082.5
35,927.4785,12008.77,47213.57,55082.5
40,739.1244,8951.924,41311.88,55082.5
45,605.004,6908.454,32069.85,55082.5
50,505.7903,5479.165,25569.27,55082.5
55,430.1332,4442.735,20831.67,50075
60,370.9902,3668.729,17277.41,45902.08
65,323.7925,3076.373,14545.88,39111.83
70,285.465,2613.561,12403.47,33723.98
75,253.8723,2245.503,10693.55,29377.33
80,227.4922,1948.276,9308.086,25819.92
85,205.2142,1705.009,8170.585,22871.63
90,186.2118,1503.539,7225.742,20400.93
95,169.8593,1334.924,6432.771,18309.97
100,155.6752,1192.472,5761.079,16524.75
105,143.284,1071.105,5187.365,14988.44
110,132.389,966.9064,4693.638,13656.82
115,122.7533,876.8254,4265.83,12495.08
120,114.1856,798.4534,3892.819,11475.52
125,106.5301,729.8713,3565.72,10575.84
130,99.65884,669.5345,3277.371,9777.958
135,93.46567,616.1891,3021.943,9067.078
140,87.86215,568.8093,2794.657,8430.995
145,82.77399,526.5489,2591.568,7859.572
150,78.13837,488.7059,2409.393,7344.333
155,73.90191,454.6933,2245.384,6878.147
160,70.01894,424.0181,2097.229,6454.98
